pid,tid,searchSeq,timeFromSearch,kind,resultUrl
2,1,0,102081,closePage,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain
2,1,0,105970,openPage,https://stackoverflow.com/questions/62861485/make-clone-of-array-not-copy-of-reference-and-modify-the-new-array
2,1,0,227658,closePage,https://stackoverflow.com/questions/62861485/make-clone-of-array-not-copy-of-reference-and-modify-the-new-array
2,1,0,231153,openPage,https://stackoverflow.com/questions/67176299/splice-method-used-on-a-copy-of-an-array-of-objects
2,1,0,287635,closePage,https://stackoverflow.com/questions/67176299/splice-method-used-on-a-copy-of-an-array-of-objects
2,1,0,291560,openPage,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
2,1,0,356136,closePage,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
2,5,0,3721,showProj,https://stackoverflow.com/questions/41505492/how-to-subtract-one-month-using-moment-js
2,5,0,5222,showProj,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
2,5,0,6306,showProj,https://stackoverflow.com/questions/39267623/moment-js-get-first-and-last-day-of-current-month
2,5,0,7276,showProj,https://stackoverflow.com/questions/26131003/moment-js-start-and-end-of-given-month
2,5,0,7506,showProj,https://stackoverflow.com/questions/39353993/moment-js-last-day-of-month-issue
2,5,0,9761,showProj,https://stackoverflow.com/questions/33440646/how-to-properly-add-1-month-from-now-to-current-date-in-moment-js
2,5,0,9836,showProj,https://stackoverflow.com/questions/8842732/how-to-get-30-days-prior-to-current-date
2,5,0,10777,openSig,https://stackoverflow.com/questions/26131003/moment-js-start-and-end-of-given-month
2,5,0,11310,showProj,https://stackoverflow.com/questions/29454824/how-to-get-time-using-moment-js
2,5,0,14172,showProj,https://stackoverflow.com/questions/25150570/get-hours-difference-between-two-dates-in-moment-js
2,5,0,14393,showProj,https://stackoverflow.com/questions/1296358/how-to-subtract-days-from-a-plain-date
2,5,0,33415,openCode,https://stackoverflow.com/questions/26131003/moment-js-start-and-end-of-given-month
2,5,0,36104,openSig,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
