pid,tid,searchSeq,rank,text
12,6,0,0,use(unknown)
12,6,0,1,static(unknown)
12,6,0,2,"join(unknown, string)"
12,6,0,3,"use(string, unknown)"
12,6,0,4,"get(string, unknown)"
12,6,0,5,"get(string, function)"
12,6,0,6,static(string)
12,6,0,7,"get(string, function, unknown)"
12,6,0,8,express()
12,6,0,9,()
13,2,0,0,T[].sort(function): this
13,2,0,1,sort(function)
13,2,0,2,ObjectConstructor.keys(object): string[]
13,2,0,3,"sortBy(unknown, string)"
13,2,0,4,T[].sort(): this
13,2,0,5,T[].reverse(): T[]
13,2,0,6,"object[].sortBy(string, string)"
13,2,0,7,T[].forEach(function): void
13,2,0,8,sort(typeof compare)
13,2,0,9,reverse()
13,4,0,0,Intl.NumberFormat.format(number | bigint): string
13,4,0,1,Number.toFixed(number): string
13,4,0,2,"String.replace(object, string): string"
13,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
13,4,0,4,toFixed(number)
13,4,0,5,"String.replace(string | RegExp, string): string"
13,4,0,6,"replace(regex, string)"
13,4,0,7,formatMoney(number)
13,4,0,8,format(string)
13,4,0,9,Number.toLocaleString(): string
13,6,0,0,"get(string, function)"
13,6,0,1,"use(string, unknown)"
13,6,0,2,Router()
13,6,0,3,express()
13,6,0,4,use(function)
13,6,0,5,T[].forEach(function): void
13,6,0,6,()
13,6,0,7,"get(string, unknown)"
13,6,0,8,use(unknown)
13,6,0,9,"join(unknown, string)"
13,6,1,0,"get(string, function)"
13,6,1,1,get(string)
13,6,1,2,express()
13,6,1,3,use(function)
13,6,1,4,"use(string, function)"
13,6,1,5,"use(regex, function)"
13,6,1,6,"post(string, function)"
13,6,1,7,format(object)
13,6,1,8,parse(unknown)
13,6,1,9,format(unknown)
13,6,2,0,dirname(unknown)
13,6,2,1,"resolve(unknown, string)"
13,6,2,2,basename(string)
13,6,2,3,"get(string, function)"
13,6,2,4,"listen(number, function)"
13,6,2,5,express()
13,6,2,6,"get(string, typeof getDirectoryContent, function)"
13,6,2,7,"join(unknown, string)"
13,6,2,8,Router()
13,6,2,9,"join(string, string, string)"
13,6,3,0,split(string)
13,6,3,1,Document.getElementById(string): HTMLElement
13,6,3,2,pop()
13,6,3,3,lastIndexOf(string)
13,6,3,4,"replace(regex, string)"
13,6,3,5,$(string)
13,6,3,6,String.split(string | RegExp): string[]
13,6,3,7,"HTMLElement.addEventListener(K, function): void"
13,6,3,8,array()
13,6,3,9,regex.exec(string): RegExpExecArray
13,6,4,0,use(unknown)
13,6,4,1,static(string)
13,6,4,2,listen(number)
13,6,4,3,createServer(function)
13,6,4,4,static(unknown)
13,6,4,5,express()
