pid|tid|seq|tts|pages|cxt_used|cxt_avail|cxt|terms|query
48128|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
49394|recent|1|null|0|2|2|"javascript;moment"|"subtrack;days;months;from;given;date"|"_javascript _moment subtrack days months from given date"
49394|serve|1|null|0|1|3|""|"express;get;route;send;files"|"_express get route send files"
49394|serve|2|68910|1|1|3|""|"express;get;route;url;params"|"_express get route url params"
49394|serve|3|20391|1|0|4|""|"js;send;response;file;via;get;route"|"js send response file via get route"
56883|currency|1|null|0|1|1|"javascript"|"format;currency"|"_javascript format currency"
56883|find|1|null|2|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
56883|serve|1|null|3|3|3|"javascript;express;path"|"/static';route"|"_javascript _express _path /static' route"
57414|recent|1|null|0|1|1|""|"javascript;date;arithmetic"|"_javascript date arithmetic"
57414|recent|2|33578|1|1|1|""|"javascript;date;arithmetic;with;specified;units"|"_javascript date arithmetic with specified units"
59191|clone|1|null|3|1|1|"javascript"|"clone;array"|"_javascript clone array"
61514|sort|1|null|5|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
62905|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
62905|recent|1|null|0|0|2|""|"subtract"|"subtract"
62905|recent|2|8887|1|0|2|""|"subtract;interval;from;date"|"subtract interval from date"
65727|sort|1|null|1|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
65727|clone|1|null|0|1|1|"javascript"|"clone;array"|"_javascript clone array"
65727|clone|2|18378|3|0|1|""|"clone;array;shallow;copy"|"clone array shallow copy"
65727|serve|1|null|1|1|3|""|"javascript;serve;files"|"_javascript serve files"
65727|recent|1|null|1|2|2|"javascript;moment"|"moment;unit"|"_javascript _moment unit"
65727|recent|2|44972|1|2|2|"javascript;moment"|"moment;subtract"|"_javascript _moment subtract"
69302|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
69321|recent|1|null|0|0|2|""|"sub"|"sub"
69321|serve|1|null|0|3|3|"javascript;express;path"|"set;route"|"_javascript _express _path set route"
69321|serve|2|20605|0|3|3|"javascript;express;path"|"static;route"|"_javascript _express _path static route"
73430|sort|1|null|2|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
73430|currency|1|null|0|1|1|"javascript"|"format;currency"|"_javascript format currency"
73430|find|1|null|0|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
73430|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
73430|recent|1|null|0|2|2|"javascript;moment"|"subtracting;amount;of;time"|"_javascript _moment subtracting amount of time"
73430|serve|1|null|2|0|3|""|"/static;route"|"/static route"
73430|serve|2|15656|4|0|1|""|"static;route"|"static route"
76613|sort|1|null|1|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
76613|sort|2|19859|0|0|1|""|"sort;array;of;objects;descending"|"sort array of objects descending"
76613|currency|1|null|0|1|1|"javascript"|"format;currency"|"_javascript format currency"
76613|clone|1|null|3|1|1|"javascript"|"clone;array"|"_javascript clone array"
76613|clone|2|59795|1|0|1|""|"clone;array;shallow"|"clone array shallow"
76613|recent|1|null|0|2|2|"javascript;moment"|"javascript;moment;subtract;date"|"_javascript _moment subtract date"
76613|serve|1|null|1|1|3|""|"express;web;server;add;route"|"_express web server add route"
76613|serve|2|170435|0|0|1|""|"express;web;server;add;route"|"express web server add route"
81897|sort|1|null|0|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
81897|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
81897|currency|2|11743|1|0|1|""|"format;currency"|"format currency"
81897|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
81897|find|2|10652|1|0|1|""|"find;item;in;array;by;value"|"find item in array by value"
81897|recent|1|null|1|0|2|""|"update;objetcts;in;node;array"|"update objetcts in node array"
81897|recent|2|43616|1|0|2|""|"momnet;subtract;time"|"momnet subtract time"
81897|serve|1|null|2|3|3|"javascript;express;path"|"express;static;serve"|"_javascript _express _path static serve"
87190|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
87190|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
87190|serve|1|null|0|3|3|"javascript;express;path"|"add;static;route"|"_javascript _express _path add static route"
92307|recent|1|null|0|0|2|""|"convert;date;to;days"|"convert date to days"
92307|recent|2|80819|1|1|2|""|"convert;moment;time;to;days"|"convert _moment time to days"
96947|currency|1|null|0|1|1|"javascript"|"format;currency"|"_javascript format currency"
96947|currency|2|11626|1|0|1|""|"locale;format;currency"|"locale format currency"
99741|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
99907|sort|1|null|0|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
99907|sort|2|-1|2|0|1|""|"sort;in;descending;o"|"sort in descending o"
12830|find|1|null|2|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
12830|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
12830|serve|1|null|2|3|3|"javascript;express;path"|"add;/static;route;to;express"|"_javascript _express _path add /static route to"
12830|serve|2|43838|1|3|3|"javascript;express;path"|"add;/static;route;to;express;web;server"|"_javascript _express _path add /static route to web server"
14987|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
14987|clone|1|null|6|1|1|"javascript"|"clone;array"|"_javascript clone array"
14987|find|1|null|3|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
17135|sort|1|null|2|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
17135|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
17135|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
17135|serve|1|null|0|0|3|""|"ad"|"ad"
17135|serve|2|21562|1|1|3|""|"add;static;to;express"|"add static to _express"
17135|recent|1|null|0|2|2|"javascript;moment"|"subtract;dates"|"_javascript _moment subtract dates"
17380|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
17380|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
17380|clone|1|null|0|1|1|"javascript"|"clone;array"|"_javascript clone array"
20014|sort|1|null|1|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
20014|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
20014|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
20014|currency|1|null|0|1|1|"javascript"|"format;currency"|"_javascript format currency"
